net,length_um
la_data_out[37],27.49
la_data_out[61],27.49
la_oenb[37],27.03
la_data_in[38],26.57
la_data_out[38],26.57
la_data_out[60],26.57
la_oenb[60],26.57
la_data_in[60],26.11
la_oenb[38],26.11
la_data_in[39],25.65
la_data_out[59],25.65
la_oenb[59],25.65
la_data_out[39],25.19
la_data_in[59],24.73
la_oenb[39],24.73
la_data_in[40],24.27
la_data_out[40],24.27
la_oenb[58],24.27
la_data_in[58],23.81
la_data_out[58],23.81
la_oenb[40],23.81
la_oenb[57],23.81
la_data_in[41],23.35
la_data_out[41],22.89
la_data_out[57],22.89
la_data_in[57],22.43
la_oenb[41],22.43
la_data_in[42],21.97
la_oenb[56],21.97
la_data_in[56],21.51
la_data_out[42],21.51
la_data_out[56],21.51
la_oenb[42],21.51
la_data_in[43],21.05
la_oenb[55],21.05
la_data_out[43],20.59
la_data_out[55],20.59
la_data_in[44],20.13
la_data_in[55],20.13
la_oenb[43],20.13
la_oenb[54],20.13
la_data_out[44],19.21
la_data_out[54],19.21
la_data_in[45],18.75
la_data_in[54],18.75
la_oenb[44],18.75
la_oenb[53],18.75
la_data_out[45],18.29
la_data_out[53],18.29
la_data_in[53],17.83
la_oenb[45],17.83
la_data_in[46],17.37
la_oenb[52],17.37
la_data_out[46],16.91
la_data_out[52],16.91
la_data_in[52],16.45
la_oenb[46],16.45
la_data_in[47],15.99
la_data_out[47],15.99
la_data_out[51],15.99
la_oenb[51],15.99
la_data_in[51],15.53
la_oenb[47],15.53
la_data_in[48],15.07
la_oenb[50],15.07
la_data_out[48],14.61
la_data_out[50],14.61
la_data_in[50],14.15
la_oenb[48],14.15
la_data_in[49],13.69
la_data_out[49],13.69
la_oenb[49],13.69
